(Z_0:0.2189384518,((C_0:0.0200697029,G_0:0.0217390917):0.0276758852,L_0:0.0384761849):0.0020263008,(R_0:0.0138769116,Q_0:0.0167997445):0.0179200815);
(Z_0:0.1166649553,(G_0:0.0195524484,L_0:0.0211174687):0.0025290352,(C_0:0.0217449404,(R_0:0.0067634273,Q_0:0.0043395672):0.0152459580):0.0081972695);
(Z_0:0.0000000000,(((C_0:0.0000005000,Q_0:0.0000005000):0.0000005000,G_0:0.0000000000):0.0000000000,L_0:0.0000000000):0.0000000000,R_0:0.0000000000);
(Z_0:0.2028902599,(C_0:0.0334644720,G_0:0.0403347849):0.0106288466,(L_0:0.0365724315,(R_0:0.0135597587,Q_0:0.0165627848):0.0232909846):0.0109766640);
(Z_0:0.0546204681,(C_0:0.0121872192,G_0:0.0096641194):0.0029559352,(L_0:0.0089778509,(R_0:0.0074721170,Q_0:0.0051351043):0.0020110200):0.0031661827);
(Z_0:0.1177131873,(C_0:0.0098355866,G_0:0.0160200876):0.0109216479,(L_0:0.0260632426,(R_0:0.0092190898,Q_0:0.0049258549):0.0090974603):0.0080238766);
(Z_0:0.2695394604,(C_0:0.0361976362,G_0:0.0406489523):0.0427501061,(L_0:0.0468281849,(R_0:0.0181971326,Q_0:0.0140048384):0.0270795307):0.0253058592);
(Z_0:0.1384641453,(L_0:0.0181896069,(R_0:0.0204031113,Q_0:0.0171057606):0.0055892780):0.0099550935,(C_0:0.0176457033,G_0:0.0242204350):0.0100537971);
(Z_0:0.0266360607,(C_0:0.0024958030,G_0:0.0035216307):0.0035038286,(L_0:0.0030146147,(R_0:0.0020046812,Q_0:0.0004993669):0.0020122245):0.0045660697);
(Z_0:0.0182520877,(L_0:0.0055356846,(R_0:0.0025098652,Q_0:0.0035150598):0.0009922407):0.0025134848,(C_0:0.0095888846,G_0:0.0045195759):0.0004967981);
(Z_0:0.1143276944,(C_0:0.0137186984,G_0:0.0101964047):0.0265832258,(L_0:0.0180089545,(R_0:0.0131664292,Q_0:0.0081406848):0.0109094536):0.0135521214);
(Z_0:0.2075443708,(C_0:0.0252779395,G_0:0.0201733834):0.0241954393,(L_0:0.0293156436,(R_0:0.0218644791,Q_0:0.0227729247):0.0101052337):0.0156782042);
(Z_0:0.1858990467,(C_0:0.0270065776,G_0:0.0235838508):0.0352394792,(L_0:0.0334271353,(R_0:0.0150549002,Q_0:0.0172253776):0.0245629558):0.0114207409);
(Z_0:0.0721853834,(C_0:0.0035306534,G_0:0.0085810903):0.0192262894,(L_0:0.0137808829,(R_0:0.0028321010,Q_0:0.0062170177):0.0053553557):0.0138207041);
(Z_0:0.0315107770,(C_0:0.0050270354,G_0:0.0060659601):0.0046531826,(L_0:0.0060546172,(R_0:0.0025157480,Q_0:0.0004910584):0.0050529789):0.0008759720);
(Z_0:0.1426130527,(C_0:0.0183956796,G_0:0.0210293574):0.0100434257,(L_0:0.0189253442,(R_0:0.0127404918,Q_0:0.0086048138):0.0122232452):0.0035143723);
(Z_0:0.5233342528,L_0:0.1435258944,((R_0:0.0280039516,Q_0:0.0425874542):0.0748610262,(C_0:0.0464382634,G_0:0.0531026747):0.0552780847):0.0542916503);
(Z_0:0.1971202653,(C_0:0.0178879520,G_0:0.0132099833):0.0182457133,(L_0:0.0190581194,(R_0:0.0172578318,Q_0:0.0171670994):0.0117652534):0.0085632144);
(Z_0:0.1071458360,(R_0:0.0085427847,Q_0:0.0087964639):0.0205850606,(L_0:0.0241358849,(C_0:0.0225784945,G_0:0.0225895392):0.0097661313):0.0009307801);
(Z_0:0.1209403449,L_0:0.0227142775,((C_0:0.0096633204,G_0:0.0080580182):0.0127107821,(R_0:0.0096519608,Q_0:0.0091176159):0.0102381134):0.0002800628);
(Z_0:0.1171257348,((C_0:0.0091237557,G_0:0.0101542853):0.0090251220,(R_0:0.0050379769,Q_0:0.0055447010):0.0113123591):0.0004742231,L_0:0.0209867645);
(Z_0:0.3617293611,Q_0:0.0870962187,((C_0:0.0431060181,G_0:0.0301672503):0.0496681334,(L_0:0.0700310582,R_0:0.0646878588):0.0098927672):0.0074508486);
(Z_0:0.0299062227,(R_0:0.0020019160,Q_0:0.0020061852):0.0056447673,(L_0:0.0086010158,(C_0:0.0019998083,G_0:0.0035180043):0.0060920697):0.0003747781);
(Z_0:0.0338837618,(R_0:0.0019978289,Q_0:0.0030222931):0.0075714317,(L_0:0.0070422287,(C_0:0.0085886925,G_0:0.0045452356):0.0014807612):0.0000023743);
(Z_0:0.1479597613,(C_0:0.0120063218,G_0:0.0144889541):0.0094712103,(L_0:0.0212786877,(R_0:0.0102586112,Q_0:0.0133627910):0.0122271565):0.0060994698);
(Z_0:0.2217570936,(G_0:0.0577293457,C_0:0.0398596405):0.0005486020,(L_0:0.0379073318,(R_0:0.0107744677,Q_0:0.0172360301):0.0213968658):0.0057106462);
(Z_0:0.3088701794,(C_0:0.0324764939,G_0:0.0207946863):0.0233255934,(L_0:0.0391464062,(R_0:0.0179041216,Q_0:0.0191333997):0.0335026822):0.0208914659);
(Z_0:0.0005003500,((C_0:0.0005003500,G_0:0.0010011500):0.0000010000,(R_0:0.0000010000,Q_0:0.0000010000):0.0004998500):0.0000010000,L_0:0.0005003500);
(Z_0:0.1230438241,(R_0:0.0128712679,Q_0:0.0099823787):0.0186204912,(L_0:0.0220569035,(C_0:0.0110254476,G_0:0.0102575509):0.0159814713):0.0059729731);
(Z_0:0.0748760105,R_0:0.0325574697,((C_0:0.0075955875,G_0:0.0045148026):0.0059219062,(L_0:0.0126510460,Q_0:0.0168771272):0.0035853843):0.0036255966);
(Z_0:0.0966738375,(C_0:0.0100992978,G_0:0.0086291966):0.0096326831,(L_0:0.0110734147,(R_0:0.0036439399,Q_0:0.0070418290):0.0127817687):0.0032535938);
(Z_0:0.2312579458,(C_0:0.0165532260,G_0:0.0211588595):0.0289922830,(L_0:0.0385614876,(R_0:0.0168877516,Q_0:0.0174648861):0.0196898682):0.0059451873);
(Z_0:0.1290541248,(C_0:0.0075850342,G_0:0.0101558294):0.0130002723,(L_0:0.0220523592,(R_0:0.0082612986,Q_0:0.0048303384):0.0132410387):0.0031417502);
(Z_0:0.1206528579,(L_0:0.0178789076,(R_0:0.0127653700,Q_0:0.0194329864):0.0106865790):0.0099712689,(C_0:0.0268163812,G_0:0.0133060442):0.0079150463);
(Z_0:0.5061716838,((C_0:0.0399814375,G_0:0.0340036127):0.0478992622,Q_0:0.0785477294):0.0012960755,(L_0:0.0776027737,R_0:0.0811421636):0.0072829154);
(Z_0:0.0162349186,(C_0:0.0015028563,G_0:0.0010006673):0.0010025232,(L_0:0.0030076030,(R_0:0.0030064012,Q_0:0.0020033966):0.0005013930):0.0010022858);
(Z_0:0.1857787222,(C_0:0.0130629137,G_0:0.0154939524):0.0304957479,(L_0:0.0317697835,(R_0:0.0117347537,Q_0:0.0117149640):0.0154947220):0.0096859426);
(Z_0:0.1087133408,((R_0:0.0067702347,Q_0:0.0065135758):0.0195716212,L_0:0.0216932275):0.0000020668,(C_0:0.0103496781,G_0:0.0120457027):0.0115043856);
(Z_0:0.0378368524,(C_0:0.0045248370,G_0:0.0035187749):0.0081386592,(L_0:0.0095975484,(R_0:0.0015008907,Q_0:0.0025130258):0.0035272972):0.0050329576);
(Z_0:0.0993069269,(C_0:0.0093967123,G_0:0.0160633039):0.0161749855,(Q_0:0.0174239476,(L_0:0.0218335483,R_0:0.0205105120):0.0014697390):0.0068355852);
(Z_0:0.3227074290,(C_0:0.0413664045,G_0:0.0425104518):0.0485120980,(L_0:0.0550586866,(R_0:0.0267915889,Q_0:0.0321611047):0.0264385623):0.0318736002);
(Z_0:0.2031166822,G_0:0.0500514072,(C_0:0.0377761044,(L_0:0.0367148021,(R_0:0.0143206622,Q_0:0.0137520100):0.0241837607):0.0047808253):0.0088360538);
(Z_0:0.0977500037,L_0:0.0313312992,((G_0:0.0180377571,(R_0:0.0132069154,Q_0:0.0148073806):0.0107333058):0.0002937957,C_0:0.0274555018):0.0029370740);
(Z_0:0.1712842783,(C_0:0.0063848716,G_0:0.0087863829):0.0223919449,(L_0:0.0183373001,(R_0:0.0075517365,Q_0:0.0081175738):0.0162228436):0.0068395196);
(Z_0:0.0060275295,(C_0:0.0010004000,G_0:0.0015017102):0.0005023537,((L_0:0.0005001396,R_0:0.0005007700):0.0000010000,Q_0:0.0010024300):0.0004999200);
(Z_0:0.2024547374,((C_0:0.0225109400,G_0:0.0194167047):0.0204593571,(R_0:0.0146373667,Q_0:0.0207315422):0.0234637823):0.0016267356,L_0:0.0400243312);
(Z_0:0.0306977994,L_0:0.0200438501,((R_0:0.0035093049,Q_0:0.0020050983):0.0035326291,(C_0:0.0060468235,G_0:0.0050396727):0.0060468716):0.0126871291);
(Z_0:0.0677290106,(R_0:0.0025071320,Q_0:0.0015026532):0.0083745082,(L_0:0.0167453136,(C_0:0.0070592726,G_0:0.0096139540):0.0045867541):0.0027394868);
(Z_0:0.0532461327,(L_0:0.0146979361,R_0:0.0131608044):0.0021249748,(Q_0:0.0085883714,(C_0:0.0045283034,G_0:0.0065640740):0.0035300592):0.0014819329);
(Z_0:0.3376931978,(C_0:0.0435880536,G_0:0.0347319798):0.0348422465,(L_0:0.0618454399,(R_0:0.0217449244,Q_0:0.0231047007):0.0316274723):0.0099532049);
(Z_0:0.0157369023,(C_0:0.0015032581,G_0:0.0025084065):0.0014971499,(L_0:0.0050265425,(R_0:0.0004995200,Q_0:0.0015042553):0.0020063841):0.0015094884);
(Z_0:0.0265861116,(C_0:0.0020063679,G_0:0.0035198656):0.0030187037,(L_0:0.0030090381,(R_0:0.0060365135,Q_0:0.0035206698):0.0004886985):0.0004969935);
(Z_0:0.0245416190,(C_0:0.0015071464,G_0:0.0010005590):0.0020348853,(L_0:0.0035134558,(R_0:0.0010011711,Q_0:0.0004995618):0.0015058448):0.0014788877);
(Z_0:0.0162138369,((C_0:0.0015021159,G_0:0.0004996020):0.0020064529,L_0:0.0025060554):0.0000020390,(R_0:0.0005001667,Q_0:0.0010006673):0.0010012848);
(Z_0:0.0372204605,(C_0:0.0025068268,G_0:0.0040132662):0.0078483092,(L_0:0.0042381189,(R_0:0.0055464706,Q_0:0.0085726261):0.0007676125):0.0101171520);
(Z_0:0.1642127434,(C_0:0.0168275349,G_0:0.0116506237):0.0257223641,(L_0:0.0236468771,(R_0:0.0078834468,Q_0:0.0103736066):0.0135278409):0.0035617325);
(Z_0:0.0151711519,(((C_0:0.0025082230,G_0:0.0020038478):0.0024196568,L_0:0.0029327083):0.0001587466,Q_0:0.0000020848):0.0005000985,R_0:0.0000029529);
(Z_0:0.0948459120,(C_0:0.0134153172,G_0:0.0094546772):0.0118161982,(L_0:0.0199933247,(R_0:0.0082797309,Q_0:0.0073799403):0.0066053585):0.0047765128);
(Z_0:0.0730110978,(C_0:0.0055032294,G_0:0.0055962935):0.0092146580,(L_0:0.0111560855,(R_0:0.0050245871,Q_0:0.0040216077):0.0123356195):0.0052966453);
(Z_0:0.0255404440,(C_0:0.0015030517,G_0:0.0035129983):0.0020172945,(L_0:0.0035106786,(R_0:0.0000024653,Q_0:0.0005003803):0.0015030186):0.0014938273);
(Z_0:0.0833027367,(C_0:0.0086635581,G_0:0.0090744642):0.0073412916,(L_0:0.0162702971,(R_0:0.0055545683,Q_0:0.0045205860):0.0061861453):0.0017852587);
(Z_0:0.8152608696,(C_0:0.0712570162,G_0:0.0796481532):0.0595919522,(L_0:0.1196567849,(R_0:0.0611304200,Q_0:0.0752624360):0.0576247881):0.0015130028);
(Z_0:0.0717726133,(C_0:0.0051046765,G_0:0.0080279937):0.0109387583,(L_0:0.0148846280,(R_0:0.0071057031,Q_0:0.0044945353):0.0065300341):0.0054077498);
